Molecula,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11,Pos_12,Pos_13,Pos_14,Pos_15,Pos_16,nm_R1,R1,Rmax,nm_Rmax,Rmin,nm_Rmin,e1,m1,g1,gmax1,gmax,gmaxmax,gmin,gminmin
6Heliceno_2-NH2_6-NH2_9-NH2_13-OH_14-Br_16-OH.log,0.0,-0.66,0.0,0.0,0.0,-0.66,0.0,0.0,-0.66,0.0,0.0,0.0,-0.37,0.232,0.0,-0.37,464.27,18.0405,273.2634,348.77,-117.8863,354.54,2.32,0.713,0.00134,0.012287549,0.013,0.032133847,-0.0023,0.002718319
6Heliceno_8-OMe_10-CN_14-CC.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,0.0,0.66,0.0,0.0,0.0,0.23,0.0,0.0,423.15,32.8251,396.6579,357.89,-418.825,269.34,3.14,0.835,0.00133,0.010623841,0.0102,0.025046906,-0.00574,0.006624835
6Heliceno_2-cloro_3-yodo_4-yodo_8-bromo.log,0.0,0.227,0.18,0.18,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.66,1.6817,408.2967,355.97,-101.9144,307.3,0.712,0.452,0.00133,0.025405876,0.015,0.028703538,-0.00371,0.004271663
6Heliceno_2-yodo_5-yodo_8-fluor_14-bromo_15-fluor_16-bromo.log,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.232,0.06,0.232,398.73,3.0405,424.7025,363.22,-167.7463,272.81,0.956,0.883,0.00133,0.036945586,0.012,0.032426282,-0.00285,0.004729254
6Heliceno_8-OH_9-OH_10-OMe_13-OH_14-NH2_15-NH2.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37,-0.37,-0.27,0.0,0.0,-0.37,-0.66,-0.66,0.0,424.67,27.7172,334.4516,374.87,-492.562,276.08,2.89,0.87,0.00133,0.012043133,0.00784,0.023045971,-0.00752,0.008364199
6Heliceno_2-CC_7-CH3_8-CC_11-CH3_12-CC_16-CH3.log,0.0,0.23,0.0,0.0,0.0,0.0,-0.17,0.23,0.0,0.0,-0.17,0.23,0.0,0.0,0.0,-0.17,410.43,10.5125,446.8064,369.27,-207.44,313.39,1.78,0.833,0.00133,0.018711676,0.00855,0.022959554,-0.00295,0.00411693
6Heliceno_3-CP_6-OH_8-CP_12-SH.log,0.0,0.0,0.16,0.0,0.0,-0.37,0.0,0.16,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,428.76,115.5943,219.0747,350.44,-304.4591,272.97,5.89,1.43,0.00133,0.009720477,0.00147,0.014335744,-0.00436,0.004807141
6Heliceno_9-COOH_12-NO2_15-OH.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.78,0.0,0.0,-0.37,0.0,432.55,51.9627,236.4508,366.42,-79.4884,283.52,3.95,1.15,0.00133,0.011614382,0.00418,0.023811488,-0.0434,0.045976997
6Heliceno_3-NH2_4-CC_8-Cl_10-OMe_11-CHO_15-CH3.log,0.0,0.0,-0.66,0.23,0.0,0.0,0.0,0.227,0.0,-0.27,0.42,0.0,0.0,0.0,-0.17,0.0,411.88,11.3152,183.5415,342.18,-196.7488,269.75,1.84,0.895,0.00133,0.019420926,0.0278,0.038512219,-0.00887,0.008947596
6Heliceno_4-NO2_7-NO2.log,0.0,0.0,0.0,0.78,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.22,17.7756,59.6678,344.97,-63.3335,330.34,2.32,0.632,0.00132,0.010906376,0.0137,0.032765291,-0.00267,0.012183824
6Heliceno_5-CC_9-OMe.log,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.7,17.1002,423.1654,357.51,-256.4256,258.66,2.28,0.691,0.00132,0.012140001,0.00401,0.019466453,-0.0069,0.008522832
